brand,main_domain,category,sku,Text Only Search,UX Designed,PMI,P.IVA,Score 0-4,Platform,Email,Tel,Priority
Wendy Trendy s.r.l.,https://www.wendytrendy.com,fashion,108,Y,Y,Y,02287390971,3,Shopify,info@wendytrendy.com,+39 3341197869,HIGH
Boutique Luisa Trendy,https://luisatrendy.com,fashion,18,Y,Y,N,05690550727,2,Shopify,info@luisatrendy.com,+39 338 7029404,LOW
SHUSA,https://shusa-cosmetics.myshopify.com,beauty,72,Y,Y,N,01577440439,2,Shopify,,01577440439,LOW
The Lavenham Nettle Shop,https://the-lavenham-nettle-shop.myshopify.com,beauty,360,N,Y,N,07788416727,2,Shopify,lavenhamnettles@outlook.com,07788416727,LOW
Lebeau Perfumery,https://lebeau-perfumery.myshopify.com,beauty,72,Y,Y,N,04507750232,2,Shopify,info@lebeauperfumery.com,1614279303,LOW
The Face Lab,https://thefacelabky.myshopify.com,beauty,96,Y,Y,N,,2,Shopify,stephanie@thefacelabky.com,1699300370,LOW
estrellabijouxlove,https://estrellabijouxlove.myshopify.com,beauty,60,N,Y,N,,1,Shopify,Sabrinaestrella33@gmail.com,3393814490,LOW
REVE Botanicals,https://revebotanicals.myshopify.com,beauty,111,N,Y,N,,1,Shopify,hello@revebotanicals.com.au,04/28/2026,LOW
AVIATOR Wallet,https://aviatorwallet.com,accessories,414,N,Y,Y,,3,Shopify,service@aviatorwallet.com,1737827196,HIGH
Mighty Wallet,https://mightywallet.shop,accessories,93,N,Y,Y,,2,Shopify,,1677261943,LOW
Thread®,https://www.threadwallets.com,accessories,69,Y,Y,N,,2,Shopify,contact@threadwallets.com,1613660378,LOW
ESR TECH Made Easier,https://www.esrtech.com,accessories,336,N,Y,N,,2,Shopify,affiliate@esrtech.com,2023/2022/2019,LOW
Paperwallet®,https://paperwallet.com,accessories,306,Y,Y,Y,,4,Shopify,d@a-our-story-products-.data,,HIGH
Ofishal Leather,https://ofishal.co.nz,accessories,45,N,Y,N,,1,Shopify,Dallas@ofishal.co.nz,1768981381,LOW
"SHOES, BAGS & MORE",https://www.christyng.com,accessories,222,N,Y,Y,,3,Shopify,enquiries@christyng.com,8966 3800,HIGH
Clare V.,https://www.clarev.com,accessories,642,Y,Y,N,,3,Shopify,info@clarev.com,1613510810,HIGH
PK by Paskal,https://www.pkbypaskal.it,accessories,405,N,Y,Y,04783350632,3,Shopify,assistenza@pkbypaskal.it,+39 081 5567392,HIGH
Will Leather Goods,https://willleathergoods.com,accessories,1000,Y,Y,N,18777404134,3,Shopify,info@willleathergoods.com,+1.877.467.0436,HIGH
Art & Design,https://art-design-s-g-m.myshopify.com,home,24,Y,Y,N,02006130807,2,Shopify,vmammoliti0@gmail.com,+39 0966 948121,LOW
Clara Grassi Shop,https://clara-grassi-shop.myshopify.com,home,48,Y,Y,N,03411470168,2,Shopify,info@claragrassi.com,03411470168,LOW
Cinemuseum,https://cinemuseum.myshopify.com,home,135,Y,Y,Y,,3,Shopify,info@cinemuseum.store,07070678210000008571,HIGH
Simona Pistorello Art,https://simonapistorello.it,home,78,Y,Y,N,04966100754,2,Shopify,s.pistorello@hotmail.it,04966100754,LOW
vincent,https://vincent-tulipano.myshopify.com,home,108,N,Y,N,08811110017,1,Shopify,,+39 338 3530668,LOW
Casafika,https://casafika.it,home,276,Y,Y,Y,04453060982,4,Shopify,info@casafika.it,+39 380 754 3425,HIGH
Il Giardino del Re Shop,https://ilgiardinodelreshop.it,home,144,Y,Y,Y,03364650733,3,Shopify,info@ilgiardinodelreshop.it,+39 338 568 3268,HIGH
Sigma Italia,https://www.sigma-italia.it,home,183,N,Y,Y,08088770154,2,Shopify,info@ad-service.it,00001727,LOW
Art Gallery,https://danielecomelli.com,home,144,Y,Y,N,,2,Shopify,info@danielecomelli.com,+39 346 1236568,LOW
